Shrewsbury Oil Plant MA USA,United States of America,Please Select,42.3468,-71.9077,14,Please Select,Please Select,"Worcester County, MA, USA",Please Select,1969-11-00,Shrewsbury Town of,100,,,,,,
Sibley One Oil Plant IA USA,United States of America,Please Select,43.3779,-95.6318,5.2,Please Select,Please Select,"Osceola County, IA, USA",Please Select,1971-09-00,Sibley City of,100,,,,,,
Sidney Oil Plant OH USA,United States of America,Please Select,40.3277,-84.2013,13.5,Please Select,Please Select,"Shelby County, OH, USA",Please Select,1968-07-00,Dayton Power & Light Co,100,,,,,,
Skagway Oil Plant AK USA,United States of America,Please Select,58.2202,-136.6293,3.4,Please Select,Please Select,"Skagway-Hoonah-Angoon County, AK, USA",Please Select,,Alaska Power Co,100,,,,,,
Sleepy Eye Oil Plant MN USA,United States of America,Please Select,44.242,-94.7284,8.9,Please Select,Please Select,"Brown County, MN, USA",Please Select,1961-07-00,Sleepy Eye Public Utility Comm,100,,,,,,
Slocum Oil Plant MI USA,United States of America,Please Select,42.2878,-83.2903,13.5,Please Select,Please Select,"Wayne County, MI, USA",Please Select,1968-12-00,Detroit Edison Co,100,,,,,,
Smith Island Oil Plant MD USA,United States of America,Please Select,38.1223,-75.7446,1.7,Please Select,Please Select,"Somerset County, MD, USA",Please Select,1969-12-00,A & N Electric Coop,100,,,,,,
Smith Street Oil Plant FL USA,United States of America,Please Select,29.0608,-81.1897,12.5,Please Select,Please Select,"Volusia County, FL, USA",Please Select,1946-01-00,New Smyrna Beach City of,100,,,,,,
Smithfield Oil Plant NC USA,United States of America,Please Select,35.2324,-77.6456,3.6,Please Select,Please Select,"Lenoir County, NC, USA",Please Select,2003-01-00,Smithfield Packing,100,,,,,,
Smithfield Packing Oil Plant NC USA,United States of America,Please Select,35.6993,-77.9225,2.8,Please Select,Please Select,"Wilson County, NC, USA",Please Select,2002-02-00,Smithfield Packing,100,,,,,,
Snake River Oil Plant AK USA,United States of America,Please Select,64.8963,-163.975,11.1,Please Select,Please Select,"Nome County, AK, USA",Please Select,1972-01-00,Nome Joint Utility Systems,100,,,,,,
South Cairo Oil Plant NY USA,United States of America,Please Select,42.2752,-74.1227,21.6,Please Select,Please Select,"Greene County, NY, USA",Please Select,1970-06-00,Central Hudson Gas & Elec Corp,100,,,,,,
South Generation Oil Plant MN USA,United States of America,Please Select,44.4053,-95.2535,10,Please Select,Please Select,"Redwood County, MN, USA",Please Select,2003-03-00,Redwood Falls Public Util Comm,100,,,,,,
South Hampton Oil Plant NY USA,United States of America,Please Select,40.8803,-72.8434,11.5,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1963-03-00,National Grid (KeySpan Generation),100,,,,,,
South Oaks Hospital Oil Plant NY USA,United States of America,Please Select,40.8803,-72.8434,1.2,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1990-06-00,South Oak Hospital,100,,,,,,
South Plant Oil Plant IA USA,United States of America,Please Select,42.7747,-92.3183,12,Please Select,Please Select,"Bremer County, IA, USA",Please Select,2000-05-00,Waverly Municipal Elec Utility,100,,,,,,
Southold Oil Plant NY USA,United States of America,Please Select,40.8803,-72.8434,14,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1964-08-00,National Grid (KeySpan Generation),100,,,,,,
Southwark Oil Plant PA USA,United States of America,Please Select,40.0018,-75.128,74.4,Please Select,Please Select,"Philadelphia County, PA, USA",Please Select,1967-06-00,Exelon Energy,100,,,,,,
Southwestern Bell Telephone Oil Plant MO USA,United States of America,Please Select,38.8445,-92.8138,6,Please Select,Please Select,"Cooper County, MO, USA",Please Select,1992-02-00,Southwestern Bell Telephone Co,100,,,,,,
Spalding Oil Plant NE USA,United States of America,Please Select,41.5658,-98.5161,2.1,Please Select,Please Select,"Greeley County, NE, USA",Please Select,1919-07-00,Spalding Village of,100,,,,,,
Spartanburg Water System Oil Plant SC USA,United States of America,Please Select,34.929,-81.985,2.6,Please Select,Please Select,"Spartanburg County, SC, USA",Please Select,1998-01-00,Spartanburg Commissioners PW,100,,,,,,
Spencer Oil Plant IA USA,United States of America,Please Select,43.0831,-95.1603,23.8,Please Select,Please Select,"Clay County, IA, USA",Please Select,1970-01-00,Spencer City of,100,,,,,,
Spirit Mound Oil Plant SD USA,United States of America,Please Select,42.917,-96.9823,135,Please Select,Please Select,"Clay County, SD, USA",Please Select,1978-06-00,Basin Electric Power Coop-East,100,,,,,,
Sprague Paperboard Oil Plant CT USA,United States of America,Please Select,41.6242,-72.0417,20,Please Select,Please Select,"New London County, CT, USA",Please Select,1962-10-00,Cascades Boxboard Group Connecticut LLC,100,,,,,,
Springfield Oil Plant MN USA,United States of America,Please Select,44.242,-94.7284,13,Please Select,Please Select,"Brown County, MN, USA",Please Select,1994-06-00,Springfield Public Utils Comm,100,,,,,,
Sprint Mid Atlantic Telecom Ad Oil Plant NC USA,United States of America,Please Select,36.0777,-78.2867,2,Please Select,Please Select,"Franklin County, NC, USA",Please Select,1993-03-00,Sprint Mid-Atlantic Telecom,100,,,,,,
St Albans Oil Plant VT USA,United States of America,Please Select,44.8571,-72.9071,2.6,Please Select,Please Select,"Franklin County, VT, USA",Please Select,1950-02-00,Central Vermont Pub Serv Corp,100,,,,,,
St Bonifacius Oil Plant MN USA,United States of America,Please Select,44.8228,-93.8046,47.6,Please Select,Please Select,"Carver County, MN, USA",Please Select,1978-06-00,Great River Energy,100,,,,,,
St George Red Rock Oil Plant UT USA,United States of America,Please Select,37.2765,-113.5007,14,Please Select,Please Select,"Washington County, UT, USA",Please Select,1987-05-00,St George City of,100,,,,,,
St John Oil Plant KS USA,United States of America,Please Select,38.0228,-98.7151,5.9,Please Select,Please Select,"Stafford County, KS, USA",Please Select,2002-06-00,St John City of,100,,,,,,
St Marys Oil Plant AK USA,United States of America,Please Select,60.9214,-159.7663,2.1,Please Select,Please Select,"Bethel County, AK, USA",Please Select,1977-05-00,Alaska Village Elec Coop. Inc,100,,,,,,
St Michael Oil Plant AK USA,United States of America,Please Select,64.8963,-163.975,0.7,Please Select,Please Select,"Nome County, AK, USA",Please Select,,Alaska Village Elec Coop Inc,100,,,,,,
Stafford Oil Plant KS USA,United States of America,Please Select,38.0228,-98.7151,5.1,Please Select,Please Select,"Stafford County, KS, USA",Please Select,1960-09-00,Stafford City of,100,,,,,,
Starrett City Cogen Facility Oil Plant NY USA,United States of America,Please Select,40.6485,-73.8795,18,Please Select,Please Select,"Kings County, NY, USA",Please Select,1974-10-00,Starrett City Inc,100,,,,,,
State Farm Insur Support Center Central Oil Plant TX USA,United States of America,Please Select,32.773,-96.773,10.8,Please Select,Please Select,"Dallas County, TX, USA",Please Select,1998-01-00,State Farm Mutual Auto Insur Co,100,,,,,,
State Farm Insurance Support Center East Oil Plant GA USA,United States of America,Please Select,33.7932,-84.4621,10.8,Please Select,Please Select,"Fulton County, GA, USA",Please Select,1998-01-00,State Farm Mutual Auto Insur Co,100,,,,,,
State Farm Oil Plant IL USA,United States of America,Please Select,40.4936,-88.8535,5.1,Please Select,Please Select,"McLean County, IL, USA",Please Select,1996-10-00,AmerenIP,50,,,,,,
State St Generating Oil Plant MI USA,United States of America,Please Select,41.9186,-85.0652,16.2,Please Select,Please Select,"Branch County, MI, USA",Please Select,2001-04-00,Michigan South Central Pwr Agy,100,,,,,,
Station I Oil Plant MO USA,United States of America,Please Select,39.007,-94.3507,38,Please Select,Please Select,"Jackson County, MO, USA",Please Select,1972-06-00,Independence City of,100,,,,,,
Stillwater Water Treatment Plant Oil Plant OK USA,United States of America,Please Select,36.0831,-96.9757,2,Please Select,Please Select,"Payne County, OK, USA",Please Select,2003-09-00,Stillwater Utilities Authority,100,,,,,,
Stock Island Oil Plant FL USA,United States of America,Please Select,25.53,-81.07,89.5,Please Select,Please Select,"Monroe County, FL, USA",Please Select,1978-11-00,Florida Municipal Power Agency,61.9011,,,,,,
Stony Brook Oil Plant MA USA,United States of America,Please Select,42.1953,-72.5156,530.6,Please Select,Please Select,"Hampden County, MA, USA",Please Select,1982-11-00,Green Mountain Power Corp,5.9706,,,,,,
Story City Oil Plant IA USA,United States of America,Please Select,42.0362,-93.465,13.9,Please Select,Please Select,"Story County, IA, USA",Please Select,,Story City City of,100,,,,,,
Stryker Oil Plant OH USA,United States of America,Please Select,41.5616,-84.5761,19,Please Select,Please Select,"Williams County, OH, USA",Please Select,1968-02-00,FirstEnergy Generation Corp,100,,,,,,
Sub 2 Generating Station Oil Plant MO USA,United States of America,Please Select,39.8313,-92.5672,3.6,Please Select,Please Select,"Macon County, MO, USA",Please Select,2003-05-00,Macon City of,100,,,,,,
Sub 3 Generating Station Oil Plant MO USA,United States of America,Please Select,39.8313,-92.5672,7.2,Please Select,Please Select,"Macon County, MO, USA",Please Select,2003-11-00,Macon City of,100,,,,,,
Sullivan Oil Plant IL USA,United States of America,Please Select,39.6431,-88.6221,18.5,Please Select,Please Select,"Moultrie County, IL, USA",Please Select,1974-12-00,Sullivan City of,100,,,,,,
Sumner Oil Plant IA USA,United States of America,Please Select,42.7746,-92.318,5.6,Please Select,Please Select,"Bremer County, IA, USA",Please Select,1972-12-00,Sumner City of,100,,,,,,
Sun Trust Plaza Oil Plant GA USA,United States of America,Please Select,33.7932,-84.4621,2.4,Please Select,Please Select,"Fulton County, GA, USA",Please Select,1994-01-00,Sun Trust Plaza Associates LLC,100,,,,,,
Sunoco Eagle Point Refinery Oil Plant NJ USA,United States of America,Please Select,39.8792,-75.1583,22.5,Please Select,Please Select,"Gloucester County, NJ, USA",Please Select,1949-01-00,Sunoco Inc,100,,,,,,
Superior Oil Plant MI USA,United States of America,Please Select,42.2578,-83.8426,64,Please Select,Please Select,"Washtenaw County, MI, USA",Please Select,1966-10-00,Detroit Edison Co,100,,,,,,
Sutherland Oil Plant NE USA,United States of America,Please Select,41.045,-100.7378,3,Please Select,Please Select,"Lincoln County, NE, USA",Please Select,1952-01-00,Sutherland City of,100,,,,,,
Suwannee River Oil Plant FL USA,United States of America,Please Select,30.3764,-83.1806,330.6,Please Select,Please Select,"Suwannee County, FL, USA",Please Select,1953-11-00,Progress Energy Florida,100,,,,,,
Tangier Oil Plant VA USA,United States of America,Please Select,37.7664,-75.6463,4.1,Please Select,Please Select,"Accomack County, VA, USA",Please Select,1974-05-00,A & N Electric Coop,100,,,,,,
Tasley Oil Plant VA USA,United States of America,Please Select,37.7061,-75.7031,27,Please Select,Please Select,"Accomack County, VA, USA",Please Select,1972-06-00,Conectiv Energy Supply Inc,100,,,,,,
Tesoro Hawaii Oil Plant HI USA,United States of America,Please Select,21.4875,-157.9817,20,Please Select,Please Select,"Honolulu County, HI, USA",Please Select,1982-12-00,Tesoro Corp,100,,,,,,
Thermal Kem Oil Plant SC USA,United States of America,Please Select,34.9716,-81.1864,2.9,Please Select,Please Select,"York County, SC, USA",Please Select,2003-07-00,South Carolina Pub Serv Auth,100,,,,,,
Thief River Falls Oil Plant MN USA,United States of America,Please Select,48.066,-96.0357,6.5,Please Select,Please Select,"Pennington County, MN, USA",Please Select,,Thief River Falls City of,100,,,,,,
Thiele Kaolin Reedy Creek Oil Plant GA USA,United States of America,Please Select,33.2333,-82.6101,2.2,Please Select,Please Select,"Glascock County, GA, USA",Please Select,1993-01-00,Thiele Kaolin Co,100,,,,,,
Thiele Kaolin Sandersville Oil Plant GA USA,United States of America,Please Select,32.9686,-82.7957,2.4,Please Select,Please Select,"Washington County, GA, USA",Please Select,1991-01-00,Thiele Kaolin Co,100,,,,,,
Thomas Fitzhugh Oil Plant AR USA,United States of America,Please Select,35.4606,-93.8022,185,Please Select,Please Select,"Franklin County, AR, USA",Please Select,1963-05-00,Arkansas Electric Coop Corp,100,,,,,,
Thorne Bay Plant Oil Plant AK USA,United States of America,Please Select,55.9248,-131.1379,1,Please Select,Please Select,"Prince of Wales County, AK, USA",Please Select,1993-08-00,Alaska Power Co,100,,,,,,
Ticonderoga Mill Oil Plant NY USA,United States of America,Please Select,43.8914,-73.3961,42.1,Please Select,Please Select,"Essex County, NY, USA",Please Select,1970-01-00,International Paper Co,100,,,,,,
Tipton Oil Plant IA USA,United States of America,Please Select,41.7723,-91.132,4.9,Please Select,Please Select,"Cedar County, IA, USA",Please Select,1971-04-00,Tipton City of,100,,,,,,
Togiak Oil Plant AK USA,United States of America,Please Select,59.8028,-158.2207,2.1,Please Select,Please Select,"Dillingham County, AK, USA",Please Select,1986-11-00,Alaska Village Elec Coop Inc,100,,,,,,
Tok Oil Plant AK USA,United States of America,Please Select,63.8718,-143.3641,4.8,Please Select,Please Select,"Southeast Fairbanks County, AK, USA",Please Select,1985-10-00,Alaska Power Co,100,,,,,,
Tolna Oil Plant PA USA,United States of America,Please Select,39.7639,-76.6367,54,Please Select,Please Select,"York County, PA, USA",Please Select,1972-06-00,Reliant Energy Inc,100,,,,,,
Torrington Terminal Oil Plant CT USA,United States of America,Please Select,41.7761,-73.1219,21.8,Please Select,Please Select,"Litchfield County, CT, USA",Please Select,1967-11-00,NRG Energy,100,,,,,,
Tower Oil Plant MI USA,United States of America,Please Select,45.4488,-84.4971,25.2,Please Select,Please Select,"Cheboygan County, MI, USA",Please Select,1948-01-00,Wolverine Pwr Supply Coop Inc,100,,,,,,
Traer East Oil Plant IA USA,United States of America,Please Select,42.0782,-92.5388,4,Please Select,Please Select,"Tama County, IA, USA",Please Select,2004-03-00,Traer City of,100,,,,,,
Traer South Oil Plant IA USA,United States of America,Please Select,42.0782,-92.5388,2,Please Select,Please Select,"Tama County, IA, USA",Please Select,2001-04-00,Traer City of,100,,,,,,
Trenton Peaking Oil Plant MO USA,United States of America,Please Select,40.1112,-93.5725,13.5,Please Select,Please Select,"Grundy County, MO, USA",Please Select,1974-06-00,Trenton Municipal Utilities,100,,,,,,
Trenton South Oil Plant MO USA,United States of America,Please Select,40.1112,-93.5725,14,Please Select,Please Select,"Grundy County, MO, USA",Please Select,2000-07-00,Trenton Municipal Utilities,100,,,,,,
Trinidad Oil Plant CO USA,United States of America,Please Select,37.3131,-104.027,12.9,Please Select,Please Select,"Las Animas County, CO, USA",Please Select,1950-05-00,Arkansas River Power Authority,41.8605,,,,,,
Truman Oil Plant MN USA,United States of America,Please Select,43.6743,-94.551,5.9,Please Select,Please Select,"Martin County, MN, USA",Please Select,1938-09-00,Truman Public Utilities Comm,100,,,,,,
Tucumcari Oil Plant NM USA,United States of America,Please Select,35.1081,-103.5359,16.1,Please Select,Please Select,"Quay County, NM, USA",Please Select,1975-01-00,Southwestern Public Service Co,100,,,,,,
