Word,Definition
subdue,"b'subdue (third-person singular simple present subdues, present participle subduing, simple past and past participle subdued)\nTo overcome, quieten, or bring under control.2011 September 2,  Phil McNulty,  \xe2\x80\x9cBulgaria 0-3 England\xe2\x80\x9d, in  BBC\xe2\x80\x8e[1]:Gary Cahill, a target for Arsenal and Tottenham before the transfer window closed, put England ahead early on and Rooney was on target twice before the interval as the early hostility of the Bulgarian supporters was swiftly subdued.\n2011 September 2,  Phil McNulty,  \xe2\x80\x9cBulgaria 0-3 England\xe2\x80\x9d, in  BBC\xe2\x80\x8e[1]:Gary Cahill, a target for Arsenal and Tottenham before the transfer window closed, put England ahead early on and Rooney was on target twice before the interval as the early hostility of the Bulgarian supporters was swiftly subdued.\nTo bring (a country) under control by force.'"
subjective,"Related to subjects, not objects."
subjects,The plural form of subject; more than one subject.
submissive,"submissive (comparative more submissive, superlative most submissive)
Meekly obedient or passive.1756, Edmund Burke, The Works of the Right Honorable Edmund Burke, G. Bell & sons, page 314:The powerful managers for government were not sufficiently submissive to the pleasure of the possessors of immediate and personal favour, sometimes from a confidence in their own strength natural and acquired; sometimes from a fear of offending their friends, and weakening that lead in the country, which gave them a consideration independent of the court.1913, Edward Lee Thorndike, Educational Psychology, Teachers college, Columbia university, page 92:If the human being who answers these tendencies assumes a submissive behavior, in essence a lowering of head and shoulders, wavering glance, absence of all preparations for attack, general weakening of muscle tonus, and hesitancy in movement, the movements of attempt at mastery become modified into attempts at the more obvious swagger, strut and glare of triumph.2007, Brian Watermeyer, Disability and Social Change: A South African Agenda, HSRC Press, page 269:Once oppression has been internalised, little force is needed to keep us submissive.
1756, Edmund Burke, The Works of the Right Honorable Edmund Burke, G. Bell & sons, page 314:The powerful managers for government were not sufficiently submissive to the pleasure of the possessors of immediate and personal favour, sometimes from a confidence in their own strength natural and acquired; sometimes from a fear of offending their friends, and weakening that lead in the country, which gave them a consideration independent of the court.
1913, Edward Lee Thorndike, Educational Psychology, Teachers college, Columbia university, page 92:If the human being who answers these tendencies assumes a submissive behavior, in essence a lowering of head and shoulders, wavering glance, absence of all preparations for attack, general weakening of muscle tonus, and hesitancy in movement, the movements of attempt at mastery become modified into attempts at the more obvious swagger, strut and glare of triumph.
2007, Brian Watermeyer, Disability and Social Change: A South African Agenda, HSRC Press, page 269:Once oppression has been internalised, little force is needed to keep us submissive."
submit,"If you submit something, usually a piece of writing, you give it to somebody to be checked or accepted."
subscribe,"To sign up to have copies of a publication, such as a newspaper or a magazine, delivered for a period of time."
such,Such a thing is that same kind of thing that was mentioned before.
suck,"When you suck something, you use your mouth to take in a liquid."
sudden,"Very quick; taking no time or almost no time, and being a surprise."
suddenly,"If something happens suddenly, it happens very quickly when you don't expect it to happen."
suds,"suds (uncountable)
lather, foam
(slang) beerWe went out for some pizza and suds."
Sue,
suffocate,To suffocate is the action of dying from lack of air.
sugar,"Sugar is a small white powder. It looks like salt, but it tastes sweet. Some people put it in tea."
suit,A suit is a set of clothes that includes coat or and pants or dress.
sulk,"b""sulk (plural sulks)\nA state of sulking.1986,  John le Carr\xc3\xa9,  A Perfect Spy:He thanks our miserable Liberal agent, an unbeliever called Donald Somebody, see the caption, who since the court's arrival on his territory has retired into a fuming sulk from which he has only tonight emerged.Leo has been in a sulk all morning.\n1986,  John le Carr\xc3\xa9,  A Perfect Spy:He thanks our miserable Liberal agent, an unbeliever called Donald Somebody, see the caption, who since the court's arrival on his territory has retired into a fuming sulk from which he has only tonight emerged."""
sum,"A sum is an amount of money, usually a large amount."
summon,"If you summon someone, you call on him to appear before you."
sump,"sump (plural sumps)
A hollow or pit into which liquid drains, such as a cesspool, cesspit or sink.
The lowest part of a mineshaft into which water drains.
A completely flooded cave passage, sometimes passable by diving.
(automotive) The crankcase or oil reservoir of an internal combustion engine.
(nautical) The pit at the lowest point in a circulating or drainage system (FM 55-501).
(construction) An intentional depression around a drain or scupper that promotes drainage."
sun,"The sun is the star that can be seen during the day from the Earth. In the sky, it looks like a yellow circle."
sundae,A sundae is a type of ice cream dessert.
sunfish,"sunfish (plural sunfish or sunfishes)
Any of various small freshwater fishes of the family Centrarchidae, often with iridescent colours and having a laterally compressed body.
Any of various large marine fishes of the family Molidae that have an oval compressed body."
sung,The past participle of sing.
sunk,The past participle of sink.
sunlight,"Sunlight is light from the sun.

Synonym: sunshine"
sunny,"If a day is sunny, you can see the sun clearly in the sky and there is a lot of sunshine."
sunrise,Sunrise is when the sun rises.
sunset,"Sunset is the time of the day when the sun disappears behind the horizon.

Synonyms: dusk and sundown


Antonym: sunrise"
sunshine,"Sunshine is the light, rays, or warmth of the Sun."
supervisor,"supervisor (plural supervisors)
(management) A person with the official task of overseeing the work of a person or group, or of other operations and activities.
A person who monitors someone to make sure they comply with rules or other requirements set for them.
(US) In certain states, an elected member of the governing body for a county which is called the board of supervisors.
(computing) A process responsible for managing other processes.1965, P. A. Crisman, The compatible time-sharing system: a programmer's guide (page 14)The clock burst which enables the supervisor to housekeep the console input and output and to change program status is currently set to 200 ms.
1965, P. A. Crisman, The compatible time-sharing system: a programmer's guide (page 14)The clock burst which enables the supervisor to housekeep the console input and output and to change program status is currently set to 200 ms."
supply,A supply is an amount of something that you can use when you need it.
supportive,"supportive (comparative more supportive, superlative most supportive)
Providing support.I had a very supportive coach who helped me."
surmount,"b'surmount (third-person singular simple present surmounts, present participle surmounting, simple past and past participle surmounted)\nTo get over; to overcome1748. David Hume. Enquiries concerning the human understanding and concerning the principles of moral. London: Oxford University Press, 1973. \xc2\xa7 10.this difficulty may perhaps be surmounted by care and art\n1748. David Hume. Enquiries concerning the human understanding and concerning the principles of moral. London: Oxford University Press, 1973. \xc2\xa7 10.this difficulty may perhaps be surmounted by care and art\nTo cap; to sit on top off.2007,  Robert Chitham,  The Classical Orders of Architecture, ISBN 1136358951:The ovolo surmounting the dentil course generally turns the corner by means of a carved acanthus leaf, the decorated cyma and cyma reversa being similarly treated at the corner.\n2007,  Robert Chitham,  The Classical Orders of Architecture, ISBN 1136358951:The ovolo surmounting the dentil course generally turns the corner by means of a carved acanthus leaf, the decorated cyma and cyma reversa being similarly treated at the corner.'"
surprise,To do something that another person didn't think you were going to do.
surrender,"When an army stops fighting and lets the other side win, we say that the army surrenders. Sometimes people wave a white flag to show that they are surrendering."
surround,"When you surround something, you confine that object on all sides of it."
survey,A survey is a broad look at a topic or place.
survive,"If you survive something, you experience it and you did not die."
suspect,"If you suspect something, you feel that something, often bad, is probably true."
swab,"swab (plural swabs)
(medicine) A small piece of soft, absorbent material, such as gauze, used to clean wounds, apply medicine, or take samples of body fluids. Often attached to a stick or wire to aid access.
A sample taken with a swab (piece of absorbent material).
A piece of material used for cleaning or sampling other items like musical instruments or guns.
A mop, especially on a ship.
(slang) A sailor; a swabby.1883, Robert Louis Stevenson, Treasure Island, ch. 25:As for that swab, he's good and dead, he is.
1883, Robert Louis Stevenson, Treasure Island, ch. 25:As for that swab, he's good and dead, he is."
swam,The past tense of swim.
swan,"A swan is a waterbird with a long neck. They are usually white, but in Australia they are black."
swank,"b""swank (comparative swanker, superlative swankest)\n(dated) Fashionably elegant.I went to a swank party last night.1939 January 13,  Norrie Jackson,  \xe2\x80\x9cWith the Alumni\xe2\x80\x9d, in  The Princeton Alumni Weekly, volume XXXIX, number 13, Princeton, N.J.: Princeton University Press, ISSN 0149-9270, OCLC 2436114, page 307, columns 1\xe2\x80\x932:The fish house or shack is built without windows, covered with tar paper to keep out the light and wind, and set on the ice over about ten feet of water in a spot off shore where fish have been known to habitate habitually. [\xe2\x80\xa6] A couple of boxes to sit on and a plank or mat for your feet and a small airtight stove, if you want swank comfort.1995 December 18,  Alexandra Lange,  \xe2\x80\x9cNow That\xe2\x80\x99s Swanky: Eurotrash, Caviar, Shiny Mega-baubles, and Super-glitzy Weddings\xe2\x80\x94the Gold-plated Set is Once Again Making New York Its Playpen\xe2\x80\x9d, in Kurt Andersen, editor, New York, volume 28, number 50, New York, N.Y.: K-III Magazine Corporation, ISSN 0028-7369, page 30:You know it's swank when\xc2\xa0\xe2\x80\xa6 It's very shiny / It's very tan / It's got Royale in its name1998,  Robin W. Winks,  \xe2\x80\x9cThe Montgomery Block\xe2\x80\x9d, in  Frederick Billings: A Life, Berkeley; Los Angeles, Calif.; London: University of California Press, ISBN 978-0-520-21497-2, page 59:[T]he Montgomery Block was the commercial and social center of San Francisco. [\xe2\x80\xa6] Above [the ground floor] were a law library, the three rooms of the Mercantile Library Association, and a swank billiard room that ran nearly the entire length of the second floor.\n1939 January 13,  Norrie Jackson,  \xe2\x80\x9cWith the Alumni\xe2\x80\x9d, in  The Princeton Alumni Weekly, volume XXXIX, number 13, Princeton, N.J.: Princeton University Press, ISSN 0149-9270, OCLC 2436114, page 307, columns 1\xe2\x80\x932:The fish house or shack is built without windows, covered with tar paper to keep out the light and wind, and set on the ice over about ten feet of water in a spot off shore where fish have been known to habitate habitually. [\xe2\x80\xa6] A couple of boxes to sit on and a plank or mat for your feet and a small airtight stove, if you want swank comfort.\n1995 December 18,  Alexandra Lange,  \xe2\x80\x9cNow That\xe2\x80\x99s Swanky: Eurotrash, Caviar, Shiny Mega-baubles, and Super-glitzy Weddings\xe2\x80\x94the Gold-plated Set is Once Again Making New York Its Playpen\xe2\x80\x9d, in Kurt Andersen, editor, New York, volume 28, number 50, New York, N.Y.: K-III Magazine Corporation, ISSN 0028-7369, page 30:You know it's swank when\xc2\xa0\xe2\x80\xa6 It's very shiny / It's very tan / It's got Royale in its name\n1998,  Robin W. Winks,  \xe2\x80\x9cThe Montgomery Block\xe2\x80\x9d, in  Frederick Billings: A Life, Berkeley; Los Angeles, Calif.; London: University of California Press, ISBN 978-0-520-21497-2, page 59:[T]he Montgomery Block was the commercial and social center of San Francisco. [\xe2\x80\xa6] Above [the ground floor] were a law library, the three rooms of the Mercantile Library Association, and a swank billiard room that ran nearly the entire length of the second floor."""
